date,question,option_a,option_b,option_c,option_d,answer,explanation
2026-09-12,What is the official term for a team's designated fifth player who serves as a substitute during championships?,Rover,Alternate,Caddy,Relief,B,Major championships permit teams to carry an alternate who can substitute into games between ends or during injury timeouts.
2026-09-12,What material is most commonly used on the sliding sole of modern competitive curling shoes?,Rubber,Teflon (PTFE),Polyurethane,Felt,B,"Curling shoes feature a low-friction Teflon slider on the sliding foot, enabling a smooth, balanced slide down the ice."
2026-09-13,What protective rubber covering does a curler wear over their slider shoe while walking off the ice or sweeping?,Gripper,Cleat,Gaiter,Overboot,A,A slip-on rubber gripper fits snugly over the Teflon slider to prevent slips while sweeping and protect the slider sole from dirt.
2026-09-13,What regulation fabric specification was mandated by World Curling in 2016 for championship brush heads?,Wool tweed,Mustard yellow woven nylon oxford fabric,Synthetic microfiber,Cotton canvas,B,The 2016 Sweeping Summit led to standardized yellow woven nylon oxford fabric to eliminate directional fabric manipulation.
2026-09-13,What hand-held device or crutch do many curlers use in their non-throwing hand to assist delivery balance?,Stabilizer,Balance cane,Glider strut,Puck,A,A stabilizer is a lightweight frame curlers hold during the slide to maintain shoulder alignment and balance instead of a broom.
2026-09-13,What delivery aid is permitted in club play and wheelchair curling to push stones without crouching in the hack?,Delivery stick,Canoe paddle,Push pole,Slide bar,A,"A delivery stick clamps over the stone handle, allowing curlers with knee or back limitations to deliver stones from a standing position."
2026-09-13,How does sweeping affect the movement of a delivered curling stone?,It makes the stone stop faster and curl more,It reduces friction to carry the stone further and hold its line,It causes the stone to bounce and spin backwards,It increases weight by chilling the running band,B,"Vigorous brushing cleans the pebble and creates momentary thermal friction, keeping the stone sliding further and reducing its curl."
2026-09-14,What sweeping technique involves a single sweeper brushing at a specific angle to steer stone trajectory?,Directional sweeping,Power scouring,Cross-hatching,Broom dragging,A,Directional sweeping utilizes specific brush angles and body positions to either hold a stone straight or encourage it to carve.
2026-09-14,Which sweeper has the best vantage point to judge the speed and weight of a delivered stone?,The sweeper closest to the stone,The sweeper closest to the skip,The opposing team's skip,The lead standing in the hack,A,"The sweeper closest to the stone can hear pebble noise and read stone rotation, making them primary judges of shot weight."
2026-09-14,"When an opponent's stone crosses the tee line behind the house, who is legally permitted to sweep it?",Any player on either team,Only one player from the defending team,Nobody may sweep behind the tee line,Both leads simultaneously,B,"Behind the tee line, only one player from the defending team (typically the skip or vice-skip) is permitted to sweep an opponent's stone."
2026-09-14,What tool do competitive sweepers use to record interval times between the back line and hog line?,Laser velocity sensor,Electronic stopwatch,Pedometer,Radar gun,B,"Sweepers carry digital stopwatches to time rock splits between lines, enabling instant communication of delivery weight to the skip."
2026-09-14,Why does a team without hammer often play aggressive centre guards in the early stones of an end?,To force a blank end,To clog the four-foot and create steal opportunities,To make takeout shots easier for the opponent,To waste their stones quickly,B,"Playing guards without hammer clutters the centre of the sheet, hiding stones in the house to generate a steal of points."
2026-09-15,What does it mean tactically to 'force' an opponent who has the hammer in an end?,Compelling them to concede the match,Restricting them to scoring only a single point,Forcing them to use their team timeout,Making them play an extra end,B,"Forcing an opponent means limiting their hammer advantage to a single point, which is considered a strategic victory for the defending team."
2026-09-15,"When trailing by two points with hammer in the ninth end of a ten-end game, what is the preferred outcome?",Taking one point,Blanking the end to keep hammer in the tenth,Throwing stones through to concede,Scoring two or more points,D,"Trailing by two, the hammer team aims for two or more points to tie or lead heading into the final tenth end."
2026-09-15,Why would a skip with hammer choose to blank an end when only a single point is available?,To end the game immediately,To retain last-stone advantage in the following end,To prevent the opposing team from sweeping,To save thinking time on the clock,B,"Blanking preserves the hammer for the next end, giving the team another opportunity to generate a multi-point score."
2026-09-15,"In the final end of a tied game, what is the ultimate goal for the team holding the hammer?",Score three points,Score at least one point or avoid giving up a steal,Blank the end to force another,Draw behind a corner guard,B,Holding hammer in a tied final end requires only a single point to secure immediate victory in the match.
2026-09-15,In which country did the sport of curling originate during the late Middle Ages?,Canada,Scotland,Norway,Sweden,B,"Curling was invented in medieval Scotland, with early written records and artifacts dating to the early 16th century."
2026-09-16,"What historic relic found in Dunblane, Scotland bears the engraved date 1511?",The Stirling Stone,The Dunblane Curling Stone,The Royal Caledonian Trophy,The King James Quoit,A,The Stirling Stone (found when a pond was drained near Dunblane) bears carved dates 1511 and is one of the oldest known curling artifacts.
2026-09-16,What famous Scottish poet wrote 'Tam Samson's Elegy' in 1786 celebrating a passionate curler?,Robert Burns,Walter Scott,Robert Louis Stevenson,Lord Byron,A,"Scotland's national bard Robert Burns penned 'Tam Samson's Elegy' in 1786, immortalizing curling culture and terminology of his day."
2026-09-16,What historic governing body was founded in 1838 at Edinburgh as the Grand Caledonian Curling Club?,World Curling Federation,Royal Caledonian Curling Club,Curling Canada,International Olympic Committee,B,The Grand Caledonian Curling Club was formed in Edinburgh in 1838 and received royal patron status from Queen Victoria in 1843.
2026-09-16,What natural outdoor loch in Scotland has hosted legendary Grand Matches pitting North vs South curlers?,Loch Lomond,Loch Ness,Loch Leven,Lake of Menteith,D,"When deep winter freezes allow, the historic Grand Match outdoor bonspiel takes place on the frozen waters of the Lake of Menteith."
2026-09-16,At which inaugural Olympic Winter Games was men's curling first contested as an official medal event?,1924 Chamonix,1932 Lake Placid,1960 Squaw Valley,1998 Nagano,A,Curling was held at the 1924 Chamonix Winter Games; in 2006 the IOC officially verified that it was a full medal event won by Great Britain.
2026-09-17,Which country won the men's gold medal when curling returned to the official Olympic programme in 1998?,Canada,Switzerland,Norway,Sweden,B,"Patrick Hürlimann's Swiss team captured the 1998 men's Olympic gold medal in Nagano, Japan, defeating Canada's Mike Harris in the final."
2026-09-17,Who skipped the Canadian women's team to iconic gold at the 1998 Nagano Winter Olympics?,Sandra Schmirler,Jennifer Jones,Cheryl Bernard,Shannon Kleibrink,A,Regina legend Sandra Schmirler led her Canadian rink to the first modern women's Olympic curling gold medal in 1998.
2026-09-17,Which American skip engineered an improbable five-game win streak to capture men's Olympic gold in 2018?,Pete Fenson,John Shuster,Matt Hamilton,Brady Clark,B,John Shuster's USA rink rebounded from a 2-4 round-robin start to win five straight elimination games and the 2018 PyeongChang gold medal.
2026-09-17,"Which Swedish skip has won Olympic gold (2022), silver (2018), and bronze (2014) in men's curling?",Peja Lindholm,Niklas Edin,Oskar Eriksson,Peter Lindholm,B,"Niklas Edin skipped Sweden to medals at three consecutive Olympic Games, culminating in gold at Beijing 2022."
2026-09-17,What was the original name of the Men's World Curling Championship when founded in 1959?,The Scotch Cup,The Canada Cup,The Silver Broom,The President's Trophy,A,"The world championship began in 1959 as the Scotch Cup, a two-nation duel between Canada and Scotland, before expanding internationally."
2026-09-18,Which legendary Saskatchewan family team won four Scotch Cup world championships between 1959 and 1963?,The Ferbey Four,The Richardson Rink,The Martin Rink,The Howard Rink,B,Ernie Richardson skipped his Regina team (with brother Garnet and cousins Arnold and Wes) to four world championships in five seasons.
2026-09-18,Which Swiss skip led her team to an unprecedented four consecutive Women's World Curling titles from 2019 to 2023?,Mirjam Ott,Silvana Tirinzoni,Binia Feltscher,Alina Pätz,B,"Silvana Tirinzoni skipped Switzerland to four straight Women's World Curling Championships (2019, 2021, 2022, and 2023)."
2026-09-18,Which Scottish skip led Great Britain women to Olympic gold in 2022 and won the 2013 World Championship?,Rhona Martin,Eve Muirhead,Jackie Lockhart,Kelly Schafer,B,Eve Muirhead skipped Scotland to the 2013 world title and capped her career by leading Great Britain to Olympic gold in Beijing 2022.
2026-09-18,Which skip holds the all-time record for the most Men's World Curling Championship gold medals as skip?,Randy Ferbey,Kevin Martin,Niklas Edin,Brad Gushue,C,"Niklas Edin won a record seven Men's World Curling Championships as skip (2013, 2015, 2018, 2019, 2021, 2022, and 2024)."
2026-09-18,What is the official championship trophy of the Canadian Men's Curling Championship called?,The Brier Tankard,The Macdonald Cup,The Maple Crown,The Stanley Urn,A,The Brier Tankard has been awarded to the Canadian men's curling champions since the inaugural competition in 1927.
2026-09-19,Which Newfoundland and Labrador skip won six Canadian men's Brier championships between 2017 and 2024?,Mark Nichols,Brad Gushue,Brad Jacobs,Jeff Stoughton,B,"Brad Gushue won six Brier titles as skip (2017, 2018, 2020, 2022, 2023, 2024), tying the individual record for Brier championships."
2026-09-19,What nickname was given to Alberta's famous team featuring David Nedohin throwing fourth stones?,The Dream Team,The Ferbey Four,The Prairie Dogs,The Northern Lights,B,"The Ferbey Four featured Randy Ferbey skipping while throwing third stones, with David Nedohin throwing fourth stones."
2026-09-19,Which Alberta skip was nicknamed 'The Bear' and went undefeated to win 2010 Olympic gold in Vancouver?,Kevin Martin,Kevin Koe,Pat Ryan,Don Duguid,A,Kevin Martin ('The Bear') captured four Brier crowns and posted an unblemished 11-0 record to claim Olympic gold in 2010.
2026-09-19,What distinctive coloured jacket is awarded to curlers who win the Canadian men's Brier championship?,Red Jacket,Purple Heart Jacket,Gold Blazer,Green Coat,B,"Brier champions are awarded the prestigious Purple Heart crest and jacket, a tradition dating back to Macdonald Tobacco sponsorship."
2026-09-19,What is the name of Canada's national women's curling championship tournament?,The Scotties Tournament of Hearts,The Canada Cup of Hearts,The Canadian Ladies Trophy,The Maple Leaf Classic,A,The Canadian women's championship has been known as the Scotties Tournament of Hearts since Kruger Products began sponsorship in 1982.
2026-09-20,Which two skips share the record for winning six Scotties Tournament of Hearts titles as skip?,Sandra Schmirler and Rachel Homan,Colleen Jones and Jennifer Jones,Kerri Einarson and Kelly Scott,Cathy Overton-Clapham and Jill Officer,B,Nova Scotia's Colleen Jones and Manitoba's Jennifer Jones each captured six Canadian women's national championships as skip.
2026-09-20,Which Manitoba skip won four consecutive Scotties Tournament of Hearts titles from 2020 to 2023?,Rachel Homan,Kerri Einarson,Chelsea Carey,Tracy Fleury,B,"Kerri Einarson and her team from Gimli, Manitoba, achieved a historic four-peat at the Scotties from 2020 through 2023."
2026-09-20,Who skipped Team Canada women to an undefeated 11-0 record and Olympic gold at Sochi 2014?,Jennifer Jones,Cheryl Bernard,Shannon Kleibrink,Kaitlyn Lawes,A,Jennifer Jones skipped her Winnipeg rink to an undefeated gold medal run at the 2014 Sochi Winter Olympic Games.
2026-09-20,Which Ottawa skip won the 2017 and 2024 World Women's Curling Championships alongside longtime teammate Emma Miskew?,Rachel Homan,Val Sweeting,Kelsey Rocque,Heather Nedohin,A,Rachel Homan captured world women's gold medals in 2017 and 2024 with a powerhouse team featuring vice-skip Emma Miskew.
2026-09-20,How many total stones are delivered by each team in an end of Mixed Doubles curling?,Four,Five,Six,Eight,B,"In Mixed Doubles, each team delivers only five stones per end, with one player throwing stones 1 and 5 and the partner throwing 2, 3, and 4."
2026-09-21,What unique tactical option allows a team with hammer in Mixed Doubles to reposition pre-placed stones to the wings?,Power Play,Split Option,Wing Guard,Corner Strike,A,"The Power Play moves the pre-placed stones to split corner positions, opening up the centre of the sheet for aggressive scoring."
2026-09-21,How many stationary stones are positioned on the ice before each end starts in Mixed Doubles?,One,Two,Three,Four,B,"Before each end, two stationary stones are placed: one centre guard and one stone partially in the four-foot circle of the house."
2026-09-21,Which Canadian duo won the inaugural Olympic gold medal in Mixed Doubles curling at PyeongChang 2018?,Rachel Homan and John Morris,Kaitlyn Lawes and John Morris,Jennifer Jones and Brent Laing,Jocelyn Peterman and Brett Gallant,B,Kaitlyn Lawes and John Morris teamed up to capture the first Olympic gold medal in Mixed Doubles curling in 2018.
2026-09-21,Which Italian pair went undefeated through the entire tournament to capture Mixed Doubles Olympic gold in 2022?,Stefania Constantini and Amos Mosaner,Silvana Tirinzoni and Benoit Schwarz,Alina Pätz and Sven Michel,Kristin Skaslien and Magnus Nedregotten,A,Stefania Constantini and Amos Mosaner compiled a flawless 11-0 record to secure Italy's historic first Olympic curling medal in 2022.
2026-09-21,How is the stone delivered in Paralympic wheelchair curling?,By sliding from a low hack,Using an approved delivery stick from a stationary wheelchair,By rolling the stone with two hands,Using an electric catapult,B,"Wheelchair curlers use an approved delivery stick that latches onto the stone handle, releasing it smoothly from a stationary wheelchair."
2026-09-22,What is a fundamental difference in sweeping rules for wheelchair curling compared to four-player curling?,Both sweepers must sit in chairs,No sweeping is permitted at any time during a stone's travel,Sweeping is only permitted behind the tee line,Sweeping must be done using only one arm,B,"In wheelchair curling, sweeping is completely prohibited once the stone is delivered, placing ultimate emphasis on throw weight and line."
2026-09-22,What gender composition is required for teams competing in international Paralympic wheelchair curling?,All male or all female,Each four-person team must include at least one male and one female player,Teams must have two men and two women,Any combination is permitted,B,World Curling and Paralympic rules mandate that four-person wheelchair curling teams must be gender-inclusive with at least one player of each gender.
2026-09-22,Between which two lines on the sheet must a wheelchair curler clearly release the stone from the delivery stick?,Back line and tee line,Hack line and the near hog line,Tee line and centre line,Hog line and house,B,"The wheelchair must be stationed between the hack line and the near hog line, and the stone must be released before crossing the near hog line."
2026-09-22,Which country won the inaugural Paralympic wheelchair curling gold medal at Turin in 2006?,Norway,Canada,Great Britain,Sweden,B,"Canada, skipped by Chris Daw, captured the first Paralympic wheelchair curling gold medal at the 2006 Torino Paralympic Winter Games."
2026-09-22,What prestigious series of elite invitational curling tour events was created in Canada in 2001–2002?,World Curling Tour Finals,Grand Slam of Curling,Crown Jewel of Curling,The Elite Eight Series,B,The Grand Slam of Curling was established by top competitive curlers to provide premier championship conditions and prize money.
2026-09-23,Which Grand Slam event is traditionally the season-ending championship featuring the year's top tour teams?,The Masters,The National,The Players' Championship,The Tour Challenge,C,"The Players' Championship has served as the flagship, season-culminating Grand Slam of Curling event since the tour's founding."
2026-09-23,Which skip holds the men's all-time record with 18 career Grand Slam of Curling championships as skip?,Randy Ferbey,Kevin Martin,Brad Gushue,Glenn Howard,B,"Kevin Martin dominated the Grand Slam tour throughout his career, capturing a record 18 men's Grand Slam titles as a skip."
2026-09-23,Which Scottish skip led his rink to three consecutive Grand Slam titles and the 2023 Men's World Championship?,Ross Whyte,Bruce Mouat,Kyle Waddell,David Murdoch,B,"Bruce Mouat emerged as a dominant international force, skipping Scotland to world gold in 2023 and multiple Grand Slam titles."
2026-09-23,What innovative rule was introduced at Grand Slam events to prevent tick shots on centre guards?,No-Tick Rule,Double Guard Rule,Fast-Ice Rule,Corner Freeze Rule,A,The No-Tick Rule prohibits teams from bumping guards touching the centre line off the line during the five-rock Free Guard Zone period.
2026-09-23,"Which Ontario skip, known for his precision runbacks, played in over 200 Brier games and won four world titles?",Russ Howard,Glenn Howard,Wayne Middaugh,Peter Corner,B,"Glenn Howard of Penetanguishene, Ontario, competed in 19 Briers, winning four Canadian men's titles and four world championships."
2026-09-24,Who skipped Sweden's women's team to Olympic gold at PyeongChang 2018?,Anette Norberg,Anna Hasselborg,Margaretha Sigfridsson,Cecilia Östlund,B,"Anna Hasselborg skipped Sweden to Olympic gold in 2018, defeating South Korea's 'Garlic Girls' in the championship final."
2026-09-24,Which Swedish skip won back-to-back women's Olympic gold medals in 2006 (Turin) and 2010 (Vancouver)?,Anette Norberg,Anna Hasselborg,Elisabet Gustafson,Dordi Nordby,A,Anette Norberg made history by skipping Sweden to consecutive Olympic gold medals at the 2006 and 2010 Winter Olympic Games.
2026-09-24,"Who was the legendary third for Kevin Martin who won an Olympic gold, world championship, and four Brier titles?",John Morris,Marc Kennedy,Don Walchuk,Carter Rycroft,A,"John Morris joined Kevin Martin in 2006, throwing third stones and winning 2008 and 2009 Briers, the 2008 Worlds, and 2010 Olympic gold."
2026-09-24,Which Canadian curling legend served as skip for the famous 'Ferbey Four' and won six Brier titles?,David Nedohin,Randy Ferbey,Scott Pfeifer,Marcel Rocque,B,"Randy Ferbey won six Brier titles (four as skip, two as third with Pat Ryan), pioneering the modern system of team play."
2026-09-24,What famous nickname was given to South Korea's women's team that won Olympic silver at PyeongChang 2018?,The Seoul Sisters,The Garlic Girls,The Tigers of Uiseong,The Ice Maidens,B,Team Kim from garlic-producing Uiseong county captured global attention in 2018 and earned the affectionate moniker 'Garlic Girls'.
2026-09-25,Which skip led Japan's 'Loco Solare' rink to Olympic bronze in 2018 and silver in 2022?,Satsuki Fujisawa,Chinami Yoshida,Yurika Yoshida,Ayumi Ogasawara,A,Satsuki Fujisawa skipped Japan's Loco Solare team to back-to-back historic Olympic medals at PyeongChang 2018 and Beijing 2022.
2026-09-25,What country's men's team famously gained worldwide fame in 2010 for wearing outrageously colourful patterned pants?,Denmark,Norway,Sweden,Germany,B,Thomas Ulsrud's Norwegian team became international sensations at the 2010 Vancouver Olympics by competing in brightly patterned Loudmouth trousers.
2026-09-25,"Which country's team, skipped by Dordi Nordby, won two Women's World Curling Championships in 1990 and 1991?",Norway,Sweden,Denmark,Switzerland,A,"Dordi Nordby of Snarøen, Norway, was one of the most prolific women's skips of her era, winning back-to-back world titles in 1990 and 1991."
2026-09-25,Which European nation has won five consecutive World Women's Curling silver medals or gold medals through Tirinzoni's rink?,Germany,Switzerland,Italy,Czechia,B,"Switzerland has dominated international women's curling, winning four straight world crowns between 2019 and 2023 with Silvana Tirinzoni."
2026-09-25,"What defensive strategy from the late 1980s, dubbed the 'Ryan Express', led directly to the creation of the Free Guard Zone?",Drawing to the button on stone one,Hitting every opponent stone out of play to keep the sheet completely blank,Peeling opponent guards behind the back line,Throwing corner guards on every shot,B,"Pat Ryan's Alberta team systematically cleared every stone from play with peel takeouts, prompting rules to protect early guards."
2026-09-26,"When the Free Guard Zone was first introduced into World Curling rulebooks in 1993, how many rocks were protected?",Two-rock rule,Three-rock rule,Four-rock rule,Five-rock rule,C,"The rule debuted internationally as a four-rock rule, protecting the first four stones of an end before expanding to five stones in 2018."
2026-09-26,"Under the Free Guard Zone rule, what happens if a team illegally knocks an opponent's guard out of play before the sixth stone?",The opposing team gets two penalty points,The removed stone is replaced to its original spot and the shooter is removed from play,The stone is placed on the button,The end is declared a blank,B,"If an opponent's FGZ stone is removed prematurely, the non-offending skip replaces it to its original spot and the delivered stone is burned."
2026-09-26,Can a team knock their OWN guard out of play during the Free Guard Zone without violating the rule?,No it is strictly prohibited,Yes only opponent stones are protected by the Free Guard Zone rule,Only if the skip gives verbal consent,Only on stone number five,B,The FGZ rule protects only stones belonging to the non-delivering team; teams are completely free to hit or peel their own guards.
2026-09-26,What area constitutes the Free Guard Zone on a curling sheet?,The entire house between tee line and back line,The area between the hog line and tee line excluding the house,The area behind the hack,Only the twelve-foot ring,B,"The FGZ covers the ice surface between the hog line and the tee line, excluding the house (stones touching the house are in-play targets)."
2026-09-26,"If you are tied without hammer in an extra end, what type of stone must you almost always play with your lead shots?",Centre guard,Through-the-house peel,Corner guard,Open hit,A,"Without hammer in an extra end, a team must place tight centre guards to block direct access to the four-foot and force a steal."
2026-09-27,What does the phrase 'split the house' mean in curling strategy?,Breaking a stone in half upon delivery,Placing stones on opposite sides of the house to prevent a double takeout,Sweeping simultaneously with two different brooms,Delivering two stones at the exact same moment,B,"Splitting the house means drawing stones to opposite wings, ensuring an opponent cannot eliminate both threats with a single shot."
2026-09-27,Why is drawing behind an opponent's centre guard into the four-foot often called 'burying' a stone?,It melts directly into the ice,It hides completely from the opponent's direct line of sight for an open takeout,It removes the stone from the scoring zone,It ends the end immediately,B,Burying a stone means curling it fully behind a guard so the opponent cannot see or hit it with a straight open takeout shot.
2026-09-27,What tactical risk occurs when a team has stones clustered together in the four-foot without guards?,They cannot be swept,They are vulnerable to a multi-stone double or triple takeout,They do not count for points,The ice warms up too fast,B,Clustering unguarded stones in the centre creates target angles that allow a skilled shooter to remove multiple rocks in one shot.
2026-09-27,What shot is typically called when you want to nudge an opponent's stone off the button while remaining in the four-foot?,Tap and roll,Tap back (or promote),Peel,Biter,B,A tap back uses controlled takeout or heavy draw weight to nudge an opponent rock back a few feet while the shooter stays in scoring position.
2026-09-27,"What water condition is critical for ice technicians when spraying pebble to avoid soft, fragile droplets?",Using water heated to near boiling with low mineral content,Using salty ocean water,Using untreated tap water at room temperature,Adding alcohol to lower the freezing point,A,"Ice makers use hot, deionized or reverse-osmosis purified water to produce hard, durable pebble droplets free of mineral imperfections."
2026-09-28,What is the ideal ice surface temperature maintained in a professional curling facility?,10 degrees Fahrenheit (-12 C),23 to 24 degrees Fahrenheit (-4.5 to -4 C),32 degrees Fahrenheit (0 C),38 degrees Fahrenheit (+3 C),B,Championship curling ice is precisely refrigerated so the surface maintains approximately 23 to 24 degrees Fahrenheit (-4.5 to -4 C).
2026-09-28,What phenomenon occurs when frost crystals accumulate on curling ice due to high building humidity?,The ice becomes dangerously fast,The stones run slower and curl erratically or stop abruptly,The pebble becomes indestructible,The house rings fade away,B,"High humidity creates surface frost, which acts like sandpaper, killing rock speed and causing unpredictable, erratic curling paths."
2026-09-28,What device do curling ice makers drive down the sheets between championship draws to level the playing surface?,A zamboni with rubber tires,A precision electric or gas power ice scraper with micro-adjustable blades,A heated thermal roller,A sander,B,Ice technicians utilize specialized curling scrapers with razor-sharp blades adjusted to thousandths of an inch to maintain flat ice.
2026-09-28,What does it mean when curlers report that the sheet is 'straightening out' during the later ends of a game?,The lines painted on the sheet are bending,Stones are curving less than they did earlier in the match,Stones are curling twice as much as normal,The hack has shifted position,B,"Ice tracks break down or acquire frost over time, which can reduce the amount of lateral curl a stone takes during delivery."
2026-09-28,What is the stationary rubber-lined footholds embedded in the ice from which curlers push off called?,The Pedals,The Hacks,The Blocks,The Chutes,B,The hacks are rubber-faced blocks anchored in the ice at both ends of the sheet from which players push out into their delivery slide.
2026-09-29,What are the two basic delivery rotations applied to a curling stone called?,In-turn and out-turn,Left-spin and right-spin,Clockwise and unclockwise,Topspin and backspin,A,"The two fundamental releases are the in-turn and out-turn, determined by which direction the handle is rotated as the rock is released."
2026-09-29,"For a right-handed curler, which rotation causes the stone to curl from right to left across the ice?",In-turn,Out-turn,Back-turn,Top-turn,A,"For a right-handed thrower, an in-turn rotates the stone clockwise, causing it to curl from the right side of the sheet toward the left."
2026-09-29,What rule infraction occurs if a curler maintains physical contact with the stone after it crosses the near hog line?,Foot fault,Hog-line violation (or burned stone),Over-slide,Double-touch,B,The stone must be cleanly released from the thrower's hand before any part of the rock touches the near hog line.
2026-09-29,What modern electronic system uses magnetic sensors inside the handle and ice to detect hog-line violations?,Eye on the Hog,Laser Line,Hog Spotter,Hawk-Eye Sweep,A,The 'Eye on the Hog' system uses circuit sensors in the handle that show green LEDs for clean releases and red flashing LEDs for fouls.
2026-09-29,What is a stone called that barely touches the outermost edge of the twelve-foot circle?,Edge rock,Biter,Scraper,Clipper,B,"A biter is a stone that comes to rest just touching the outer perimeter of the 12-foot house, making it eligible to score upon measurement."
2026-09-30,What curling term describes an unwanted particle of dirt or hair caught under a stone's running band that causes it to stop or veer?,Burr,Pick,Flea,Snag,B,"A pick occurs when a speck of debris lodges under the running edge, braking the stone and causing it to hook drastically off course."
